# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
85, 95, 9.06876843586, 9.22371219502, 0.0851211852632
85, 95, 9.22371219502, 9.37865595417, 0.0863158788104
85, 95, 9.37865595417, 9.53359971332, 0.103504099191
85, 95, 9.53359971332, 9.68854347247, 0.127963610219
85, 95, 9.68854347247, 9.84348723163, 0.107089225265
85, 95, 9.84348723163, 9.99843099078, 0.120133180046
85, 95, 9.99843099078, 10.1533747499, 0.0939085331678
85, 95, 10.1533747499, 10.3083185091, 0.0563514319552
85, 95, 10.3083185091, 10.4632622682, 0.0367545597882
85, 95, 10.4632622682, 10.6182060274, 0.0386100322127
85, 95, 10.6182060274, 10.7731497865, 0.0242498559526
85, 95, 10.7731497865, 10.9280935457, 0.0126582618339
85, 95, 10.9280935457, 11.0830373048, 0.0117079446536
85, 95, 11.0830373048, 11.237981064, 0.00698111246837
85, 95, 11.237981064, 11.3929248231, 0.00176781547408
85, 95, 11.3929248231, 11.5478685823, 0.00293133539926
85, 95, 11.5478685823, 11.7028123415, 0.00417093508363
85, 95, 11.7028123415, 11.8577561006, 0.000517979348432
85, 95, 11.8577561006, 12.0126998598, 0.00123353282021
85, 95, 12.0126998598, 12.1676436189, 0.00056076070521
