Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
45, 55, 8.90511470327, 9.06824114905, 0.0121720631741
45, 55, 9.06824114905, 9.23136759483, 0.0157519405559
45, 55, 9.23136759483, 9.39449404062, 0.0203719719301
45, 55, 9.39449404062, 9.5576204864, 0.027633515667
45, 55, 9.5576204864, 9.72074693218, 0.0402279242675
45, 55, 9.72074693218, 9.88387337796, 0.045361018897
45, 55, 9.88387337796, 10.0469998237, 0.0581081146472
45, 55, 10.0469998237, 10.2101262695, 0.0556105116014
45, 55, 10.2101262695, 10.3732527153, 0.0683652299203
45, 55, 10.3732527153, 10.5363791611, 0.0815844311147
45, 55, 10.5363791611, 10.6995056069, 0.0997527104855
45, 55, 10.6995056069, 10.8626320527, 0.0880245204617
45, 55, 10.8626320527, 11.0257584984, 0.0928258766124
45, 55, 11.0257584984, 11.1888849442, 0.0895921484349
45, 55, 11.1888849442, 11.35201139, 0.0666351553549
45, 55, 11.35201139, 11.5151378358, 0.0433469810952
45, 55, 11.5151378358, 11.6782642816, 0.0333041227559
45, 55, 11.6782642816, 11.8413907273, 0.0183058927523
45, 55, 11.8413907273, 12.0045171731, 0.0140996096025
45, 55, 12.0045171731, 12.1676436189, 0.0087045973555
55, 65, 8.08948247436, 8.25260892014, 0.00186137717637
55, 65, 8.25260892014, 8.41573536592, 0.00211660554664
55, 65, 8.41573536592, 8.57886181171, 0.00328899074953
55, 65, 8.57886181171, 8.74198825749, 0.00580196799882
55, 65, 8.74198825749, 8.90511470327, 0.0104380087242
55, 65, 8.90511470327, 9.06824114905, 0.0186694919732
55, 65, 9.06824114905, 9.23136759483, 0.0319154125096
55, 65, 9.23136759483, 9.39449404062, 0.0430719540177
55, 65, 9.39449404062, 9.5576204864, 0.0460991335968
55, 65, 9.5576204864, 9.72074693218, 0.048276181967
55, 65, 9.72074693218, 9.88387337796, 0.0590210711774
55, 65, 9.88387337796, 10.0469998237, 0.0552085905314
55, 65, 10.0469998237, 10.2101262695, 0.0644325849573
55, 65, 10.2101262695, 10.3732527153, 0.0745444553553
55, 65, 10.3732527153, 10.5363791611, 0.0890659730307
55, 65, 10.5363791611, 10.6995056069, 0.0851268967201
55, 65, 10.6995056069, 10.8626320527, 0.0848813030142
55, 65, 10.8626320527, 11.0257584984, 0.0669389253038
